commonwealth_electoral_division_,commonwealth_electoral_divisio00,state_of_commonwealth_electoral_,abstudy__non_living_allowance_,abstudy__living_allowance_,age_pension,austudy,carer_allowance,carer_allowance__child_hcc_only_,carer_payment,double_orphan_pension,disability_support_pension,family_tax_benefit_a,family_tax_benefit_b,health_care_card,low_income_card,newstart_allowance,parenting_payment_partnered,parenting_payment_single,partner_allowance,pensioner_concession_card,commonwealth_seniors_health_card,sickness_allowance,special_benefit,widow_allowance,wife_pension__age_,wife_pension__dsp_,widow_b_pension,youth_allowance__other_,youth_allowance__student_,youth_allowance__apprentice_
,Unknown,Unknown,57,<20,84213,57,560,<20,322,<20,8618,3505,2703,2929,817,416,122,120,20,8826,557,<20,26,64,334,368,440,91,650,<20
101,Banks,New South Wales,27,<20,16278,303,4099,145,1807,<20,4000,10234,8739,8881,1974,3950,847,1062,61,25183,2417,38,237,297,56,33,<20,291,1721,32
102,Barton,New South Wales,28,22,17357,306,4380,107,1718,<20,3874,9260,7859,7873,1643,3577,791,946,66,25413,2373,38,99,248,66,31,<20,270,1439,30
103,Bennelong,New South Wales,20,23,14022,422,2585,84,949,<20,3318,7217,6261,6525,1881,2444,431,508,27,19922,3004,26,142,204,21,<20,<20,161,1841,<20
104,Berowra,New South Wales,<20,<20,10764,232,1848,85,415,<20,1877,5033,4407,4100,1163,1377,189,377,<20,14079,3203,<20,61,101,<20,<20,<20,108,1012,<20
105,Blaxland,New South Wales,46,25,16425,457,8363,390,5563,<20,7960,17989,16196,17246,3525,8121,3061,2611,111,36627,938,55,157,353,145,102,<20,776,3407,103
106,Bradfield,New South Wales,44,<20,9448,249,1537,72,299,<20,1545,4465,4010,3988,947,1369,221,279,<20,12121,5133,<20,57,97,<20,<20,<20,82,1060,<20
107,Calare,New South Wales,366,105,18283,223,4277,218,1670,<20,7450,11247,9710,9723,1776,4843,720,2559,58,31874,2113,62,<20,132,44,65,<20,1014,1640,49
108,Charlton,New South Wales,181,73,19018,252,4921,164,1955,<20,6709,9785,8617,8415,1643,4018,493,1956,99,31463,1477,45,<20,159,60,78,<20,896,1202,51
109,Chifley,New South Wales,407,96,14204,371,6927,524,3780,<20,7760,18779,16442,15037,2376,7328,1373,3837,69,33122,519,64,131,318,101,90,<20,1309,2124,57
110,Cook,New South Wales,36,32,15193,225,2470,140,652,<20,2553,6050,5304,4771,1004,2209,189,798,<20,20140,3405,25,36,110,<20,<20,<20,227,894,38
111,Cowper,New South Wales,496,167,22264,295,5957,151,2971,<20,9773,13107,10846,11605,1601,7051,985,2762,119,41412,1791,66,<20,231,101,125,<20,1312,752,54
112,Cunningham,New South Wales,101,93,18217,430,4245,114,1617,<20,6089,8089,7362,8942,2594,4381,452,1291,68,28979,2101,37,<20,147,42,33,<20,673,2969,66
113,Dobell,New South Wales,187,79,19485,254,4823,180,1988,<20,6732,12197,10345,9902,1505,5425,597,2284,45,32944,1579,59,<20,186,50,54,<20,1014,1127,79
114,Eden-Monaro,New South Wales,193,54,18918,152,3584,91,1375,<20,6731,9335,7671,7473,986,4122,602,1606,63,30383,2370,39,<20,180,50,64,<20,781,433,52
115,Farrer,New South Wales,325,62,19979,155,4302,137,1707,<20,6959,10763,8786,9433,1602,5115,589,2213,76,32919,2144,58,<20,152,74,90,<20,1053,955,64
116,Fowler,New South Wales,113,22,14509,326,8602,391,5789,<20,7757,17230,15416,15514,3693,8700,1709,2985,159,35910,442,47,137,462,99,70,<20,896,3515,62
117,Gilmore,New South Wales,283,71,23254,183,5332,120,2337,<20,7362,10513,8918,8958,1364,4902,617,1964,104,37167,2290,46,<20,199,48,83,<20,940,731,72
118,Grayndler,New South Wales,77,67,13791,706,3017,63,1182,<20,4546,6218,5667,7807,2100,4508,336,824,48,22059,1386,43,61,160,66,23,<20,353,2229,28
119,Greenway,New South Wales,75,37,12226,263,3727,253,1578,<20,4284,12386,10798,9083,1738,3905,798,1566,52,21537,946,32,119,209,53,41,<20,428,1539,49
120,Hughes,New South Wales,30,<20,13140,211,3911,261,1606,<20,3453,8629,7597,6695,1452,2888,460,1134,25,20662,1541,22,49,156,25,<20,<20,275,1330,33
121,Hume,New South Wales,135,56,17866,161,4257,186,1592,<20,5989,10238,8492,7660,1077,3701,552,1898,53,28875,2355,41,<20,172,66,61,<20,695,586,46
