State/ Territory1,Top or bottom,Ranking5 by state/ territory,Postcode,Suburb name,"Individuals
no.","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending
ACT,Top,1,2603,"FORREST, GRIFFITH, MANUKA, RED HILL","6,650","110,394","73,838",41
ACT,Top,2,2600,"BARTON, CANBERRA, CAPITAL HILL, DEAKIN, DEAKIN WEST, HARMAN, HMAS HARMAN, PARKES, RUSSELL, YARRALUMLA","5,646","102,131","72,304",52
ACT,Top,3,2604,"CAUSEWAY, KINGSTON, NARRABUNDAH","7,984","87,389","71,682",126
ACT,Top,4,2605,"CURTIN, GARRAN, HUGHES","7,574","85,567","65,270",138
ACT,Top,5,2612,"BRADDON, CAMPBELL, REID, TURNER","10,631","75,381","61,229",242
ACT,Top,6,2607,"FARRER, ISAACS, MAWSON, PEARCE, TORRENS","9,403","73,301","57,790",277
ACT,Top,7,2911,"MITCHELL, CRACE","3,012","71,410","65,215",304
ACT,Top,8,2602,"AINSLIE, DICKSON, DOWNER, HACKETT, LYNEHAM, O'CONNOR, WATSON","19,924","71,274","58,469",307
ACT,Top,9,2611,"BIMBERI (NSW), BRINDABELLA (NSW), CHAPMAN, COOLEMAN (NSW), COOMBS, COREE, DENMAN PROSPECT, DUFFY, FISHER, HOLDER, RIVETT, STIRLING, STROMLO, URIARRA (NSW), URIARRA VILLAGE, WARAMANGA, WESTON, WESTON CREEK, WRIGHT","18,721","71,177","61,208",310
ACT,Top,10,2606,"CHIFLEY, WODEN, PHILLIP, O'MALLEY, LYONS","6,550","70,051","57,687",333
ACT,Bottom,1,2912,GUNGAHLIN,"3,947","60,275","50,692",680
ACT,Bottom,2,2615,"DUNLOP, FLOREY, FLYNN, FRASER, HIGGINS, HOLT, KIPPAX, LATHAM, MACGREGOR, MACNAMARA, MELBA, SPENCE, STRATHNAIRN, WHITLAM","27,635","61,351","55,725",616
ACT,Bottom,3,2617,"BELCONNEN, BELCONNEN DC, BRUCE, EVATT, GIRALANG, KALEEN, LAWSON, MCKELLAR, UNVERSITY OF CANBERRA","21,761","62,144","52,615",582
ACT,Bottom,4,2905,"BONYTHON, CALWELL, CHISHOLM, GILMORE, ISABELLA PLAINS, RICHARDSON, THEODORE","18,572","62,840","56,379",549
ACT,Bottom,5,2903,"OXLEY, ERINDALE CENTRE, WANNIASSA","6,051","62,870","54,991",546
ACT,Bottom,6,2906,"BANKS, CONDER, GORDON","11,327","63,503","57,570",528
ACT,Bottom,7,2902,"KAMBAH, KAMBAH VILLAGE","9,527","63,729","54,492",518
ACT,Bottom,8,2609,"CANBERRA AIRPORT, FYSHWICK, MAJURA, PIALLIGO, SYMONSTON",608,"64,339","49,900",495
ACT,Bottom,9,2601,"ACTON, BLACK MOUNTAIN, CANBERRA CITY","2,820","64,948","46,378",473
ACT,Bottom,10,2913,"NICHOLLS, NGUNNAWAL, FRANKLIN, CASEY, TAYLOR, PALMERSTON","22,836","66,052","58,470",425
NSW,Top,1,2108,"COASTERS RETREAT, CURRAWONG BEACH, GREAT MACKEREL BEACH, PALM BEACH","1,279","230,330","52,234",2
