"State/
Territory1",Top 105,Occupation - unit group4,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
ACT,1,2532 Anaesthetist,53,"391,157","332,797","104,367","71,546","402,351","359,226"
ACT,2,2535 Surgeon,64,"379,533","234,154","92,376","79,606","401,627","250,081"
ACT,3,2533 Internal medicine specialist,169,"312,532","282,828","81,315","63,689","325,743","304,362"
ACT,4,2222 Financial dealer,25,"224,494","145,719","95,844","60,396","245,241","183,840"
ACT,5,2534 Psychiatrist,51,"214,423","193,993","68,541","58,228","225,227","202,033"
ACT,6,2539 Other medical practitioners,528,"212,297","143,614","65,966","44,070","223,791","155,155"
ACT,7,2523 Dental practitioner,168,"174,692","134,337","44,732","32,331","183,904","145,607"
ACT,8,2712 Judicial or other legal professionals,96,"164,202","92,991","57,180","24,793","168,801","94,588"
ACT,9,2252 IT sales professional,405,"149,008","132,521","52,033","42,197","155,763","136,046"
ACT,10,1332 Engineering manager,309,"146,542","129,394","43,141","37,657","150,789","133,416"
NSW,1,2532 Anaesthetist,712,"335,501","292,518","68,794","53,149","348,323","302,880"
NSW,2,2535 Surgeon,923,"324,965","213,140","65,881","55,444","340,511","233,341"
NSW,3,2222 Financial dealer,"2,482","312,937","158,569","110,949","49,668","320,821","163,377"
NSW,4,2533 Internal medicine specialist,"2,761","283,577","231,118","63,489","51,045","296,034","242,350"
NSW,5,2534 Psychiatrist,803,"213,160","186,185","58,305","47,661","224,159","197,455"
NSW,6,2712 Judicial or other legal professionals,"1,138","205,395","110,420","63,131","28,149","212,400","115,001"
NSW,7,2539 Other medical practitioners,"8,408","191,161","127,286","50,068","36,799","202,195","137,567"
NSW,8,1111 Chief executive officer or managing director,"67,885","177,688","73,376","44,283","16,400","186,474","77,228"
NSW,9,2223 Financial investment advisor or manager,"7,349","166,648","97,257","52,697","26,443","173,996","102,866"
NSW,10,2243 Economist,"1,139","158,297","117,292","52,277","34,626","161,628","119,803"
NT,1,2532 Anaesthetist,22,"387,078","382,551","136,577","136,636","408,577","410,639"
NT,2,2535 Surgeon,33,"363,868","336,122","95,601","71,538","380,158","369,077"
NT,3,2533 Internal medicine specialist,81,"257,536","268,435","99,516","105,169","276,057","287,593"
