State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking5 by state/ territory descending
ACT,2600,"5,646","5,646","576,633,168","102,131","72,304",52,2
ACT,2601,"2,820","2,820","183,152,915","64,948","46,378",473,19
ACT,2602,"19,924","19,924","1,420,069,972","71,274","58,469",307,10
ACT,2603,"6,650","6,650","734,120,641","110,394","73,838",41,1
ACT,2604,"7,984","7,984","697,715,067","87,389","71,682",126,3
ACT,2605,"7,574","7,574","648,087,089","85,567","65,270",138,4
ACT,2606,"6,550","6,550","458,836,485","70,051","57,687",333,12
ACT,2607,"9,403","9,403","689,252,630","73,301","57,790",277,7
ACT,2608,76,76,"5,507,040","72,461","57,075",288,8
ACT,2609,608,608,"39,118,154","64,339","49,900",495,20
ACT,2610,83,83,"4,495,253","54,160","50,178","1,130",28
ACT,2611,"18,721","18,721","1,332,501,494","71,177","61,208",310,11
ACT,2612,"10,631","10,631","801,380,529","75,381","61,229",242,5
ACT,2614,"12,586","12,586","857,348,702","68,119","54,889",377,16
ACT,2615,"27,635","27,635","1,695,436,610","61,351","55,725",616,26
ACT,2616,164,164,"12,190,827","74,334","65,322",262,6
ACT,2617,"21,761","21,761","1,352,305,570","62,144","52,615",582,25
ACT,2900,"1,406","1,406","96,072,154","68,330","60,836",371,15
ACT,2901,72,72,"4,995,119","69,377","67,659",348,13
ACT,2902,"9,527","9,527","607,148,021","63,729","54,492",518,21
ACT,2903,"6,051","6,051","380,429,167","62,870","54,991",546,23
ACT,2904,"8,714","8,714","597,222,773","68,536","58,525",366,14
ACT,2905,"18,572","18,572","1,167,066,985","62,840","56,379",549,24
ACT,2906,"11,327","11,327","719,293,660","63,503","57,570",528,22
ACT,2911,"3,012","3,012","215,087,067","71,410","65,215",304,9
ACT,2912,"3,947","3,947","237,907,044","60,275","50,692",680,27
ACT,2913,"22,836","22,836","1,508,356,257","66,052","58,470",425,18
ACT,2914,"16,503","16,503","1,114,145,443","67,512","61,376",391,17
NSW,1225,54,54,"8,934,191","165,448","77,082",8,6
NSW,1230,72,72,"5,308,341","73,727","46,818",269,95
NSW,1235,337,337,"13,019,485","38,633","20,631","2,525",624
NSW,1240,68,68,"4,771,650","70,171","34,043",327,114
NSW,1335,83,83,"6,542,194","78,822","59,980",206,81
NSW,1355,152,152,"12,277,002","80,770","40,556",183,75
NSW,1360,93,93,"11,082,602","119,168","59,055",31,17
NSW,1455,54,54,"3,062,419","56,711","53,511",917,262
NSW,1460,68,68,"4,916,634","72,303","49,331",292,101
NSW,1481,53,53,"4,067,485","76,745","37,211",229,87
NSW,1485,78,78,"4,463,618","57,226","42,060",881,248
NSW,1495,90,90,"7,328,881","81,432","53,534",171,70
NSW,1499,68,68,"3,733,077","54,898","46,676","1,053",293
NSW,1585,72,72,"4,906,439","68,145","52,789",375,132
NSW,1590,50,50,"4,975,788","99,516","55,106",61,35
NSW,1595,57,57,"7,442,017","130,562","82,484",18,12
NSW,1655,103,103,"8,369,556","81,258","41,858",176,73
NSW,1660,83,83,"5,594,324","67,401","30,684",396,138
NSW,1710,76,76,"5,362,271","70,556","43,148",319,112
