Occupation - unit group4,State2,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
1100 Manager or director - type not specified,ACT,8,"95,254","73,319","31,479","23,302","99,104","88,221"
1100 Manager or director - type not specified,NSW,324,"90,416","62,767","25,977","15,343","94,003","65,589"
1100 Manager or director - type not specified,QLD,103,"74,628","58,464","18,761","15,391","77,572","60,330"
1100 Manager or director - type not specified,SA,53,"69,992","59,226","18,216","12,471","74,541","64,331"
1100 Manager or director - type not specified,TAS,7,"98,463","77,105","28,301","17,050","99,120","77,105"
1100 Manager or director - type not specified,VIC,196,"96,781","65,165","31,047","18,171","100,550","71,335"
1100 Manager or director - type not specified,WA,91,"96,080","65,585","32,116","19,332","99,049","66,053"
1111 Chief executive officer or managing director,ACT,"2,944","142,079","90,809","39,510","23,611","149,697","95,134"
1111 Chief executive officer or managing director,NSW,"67,885","177,688","73,376","44,283","16,400","186,474","77,228"
1111 Chief executive officer or managing director,NT,"1,551","132,991","90,536","27,517","19,557","136,673","94,223"
1111 Chief executive officer or managing director,QLD,"31,490","122,169","68,987","29,132","15,496","127,901","72,600"
1111 Chief executive officer or managing director,SA,"8,170","128,573","75,332","30,971","16,064","134,583","79,821"
1111 Chief executive officer or managing director,TAS,"2,510","109,627","73,536","23,554","15,196","113,953","77,182"
1111 Chief executive officer or managing director,VIC,"42,571","160,781","72,739","40,622","16,692","169,266","77,095"
1111 Chief executive officer or managing director,WA,"16,069","151,097","80,057","38,006","18,459","157,788","84,044"
1112 General manager,ACT,"4,225","126,455","108,994","35,680","29,816","130,557","112,641"
1112 General manager,NSW,"74,669","119,115","80,831","33,835","20,024","123,813","84,837"
1112 General manager,NT,"3,055","93,989","78,557","25,297","19,552","97,644","81,760"
1112 General manager,QLD,"48,875","99,236","73,247","26,386","17,460","103,320","76,815"
1112 General manager,SA,"12,847","96,811","76,577","25,301","18,252","100,828","79,974"
1112 General manager,TAS,"4,009","87,330","70,917","21,403","16,172","90,476","74,196"
1112 General manager,VIC,"63,682","111,836","78,130","30,610","19,188","116,677","82,141"
1112 General manager,WA,"22,872","117,962","84,237","32,608","21,081","122,006","87,575"
1113 Legislator,ACT,55,"126,583","113,799","42,754","39,362","138,394","124,273"
1113 Legislator,NSW,"1,050","91,101","60,173","27,902","16,316","103,246","63,997"
1113 Legislator,NT,142,"74,885","50,008","20,066","8,433","88,950","54,794"
1113 Legislator,QLD,926,"92,875","73,584","28,841","17,858","104,063","77,907"
1113 Legislator,SA,373,"89,443","60,287","30,085","12,574","100,504","64,572"
1113 Legislator,TAS,179,"90,691","61,134","34,645","28,762","106,941","68,276"
1113 Legislator,VIC,875,"90,371","61,885","25,692","15,281","102,018","65,474"
1113 Legislator,WA,580,"94,481","68,048","27,109","16,922","118,276","71,454"
1210 Farmer - type not specified,NSW,16,"12,087","7,954","3,011","1,164","12,732","7,955"
1210 Farmer - type not specified,QLD,7,"19,183","19,209","3,006","2,658","21,663","20,476"
1210 Farmer - type not specified,VIC,10,"37,706","26,141","8,406","5,374","39,826","27,107"
1211 Aquaculture farmer,ACT,7,"56,501","66,050","10,474","8,309","57,980","66,182"
1211 Aquaculture farmer,NSW,557,"37,521","32,464","6,719","4,160","39,441","33,717"
1211 Aquaculture farmer,NT,41,"59,942","60,107","15,451","13,104","62,815","60,401"
1211 Aquaculture farmer,QLD,594,"32,660","25,841","6,047","3,616","34,013","26,523"
1211 Aquaculture farmer,SA,307,"45,406","39,172","9,339","6,382","47,365","40,860"
1211 Aquaculture farmer,TAS,441,"59,894","58,584","14,178","12,898","62,585","61,704"
1211 Aquaculture farmer,VIC,274,"45,840","32,478","7,952","4,596","47,618","35,588"
1211 Aquaculture farmer,WA,168,"52,093","40,836","11,025","7,092","53,904","43,277"
1212 Crop farmer,ACT,19,"49,672","39,538","10,388","7,390","51,834","39,838"
1212 Crop farmer,NSW,"2,448","53,819","44,746","9,999","7,109","57,680","47,769"
1212 Crop farmer,NT,86,"39,587","32,726","7,819","4,650","41,782","34,435"
1212 Crop farmer,QLD,"3,093","52,107","44,016","9,381","7,145","55,070","47,227"
1212 Crop farmer,SA,"1,337","59,946","45,590","10,169","7,030","63,035","49,090"
1212 Crop farmer,TAS,329,"49,054","44,695","9,018","7,235","51,329","47,367"
1212 Crop farmer,VIC,"2,421","58,287","44,195","9,650","7,110","61,462","47,884"
1212 Crop farmer,WA,"1,421","89,911","47,816","10,833","7,991","94,908","51,625"
1213 Livestock farmer,ACT,19,"64,073","44,109","10,282","8,020","67,340","46,826"
1213 Livestock farmer,NSW,"3,702","54,162","47,443","10,601","9,000","57,994","51,724"
1213 Livestock farmer,NT,96,"64,975","54,699","15,706","12,837","69,433","61,037"
1213 Livestock farmer,QLD,"2,130","64,956","46,857","10,619","8,947","70,876","51,448"
1213 Livestock farmer,SA,"1,120","53,982","49,678","9,935","9,361","57,690","53,485"
1213 Livestock farmer,TAS,630,"53,973","47,794","10,887","9,035","59,377","51,890"
1213 Livestock farmer,VIC,"3,469","49,624","45,617","9,723","8,551","53,352","49,586"
1213 Livestock farmer,WA,"1,024","62,703","53,402","11,980","10,529","66,459","56,491"
1214 Mixed crop and livestock farmer,NSW,"1,052","62,905","53,223","11,251","9,440","68,760","57,355"
